effect,N,omnibus,onetotwo,twotothree
Large,10,60.2,61.1,60.9
Large,30,72.2,69.5,70.2
Large,100,69.9,70.1,68
Large,500,65.9,71.4,67.8
Large,1000,100,71,70.5
Medium,10,32.2,82.3,80.8
Medium,30,51.9,69.6,65.5
Medium,100,43.8,67.6,68.1
Medium,500,50.7,68.9,70.3
Medium,1000,56,70.1,71.2
Small,10,68.9,94.3,92.6
Small,30,43,88.4,89.2
Small,100,2,70.5,70.6
Small,500,0,67.3,68.1
Small,1000,0,68.5,69.1
None,10,81,95.1,95.6
None,30,71.5,94.8,95.9
None,100,48.6,90.1,89.6
None,500,0.7,62.8,66.6
None,1000,0,54.5,53.3